iteration,choice,cr1,cr2,cr3,cr4,cr5,mu1,mu2,mu3,mu4,mu5,n1,n2,n3,n4,n5,p1,p2,p3,p4,p5
16,1,0,0,0,1,2,0,0,0,0.07692307692307693,0.13333333333333333,14,12,12,13,15,0.13164876785888247,0.13164876785888247,0.13164876785888247,0.23790073408974646,0.36715296233360617
17,5,0,0,0,1,2,0,0,0,0.07692307692307693,0.125,14,12,12,13,16,0.13471997487528303,0.13471997487528303,0.13471997487528303,0.24345067136319268,0.35238940401095825
18,3,0,0,0,1,2,0,0,0,0.07692307692307693,0.125,14,12,13,13,16,0.13471997487528303,0.13471997487528303,0.13471997487528303,0.24345067136319268,0.35238940401095825
19,3,0,0,0,1,2,0,0,0,0.07692307692307693,0.125,14,12,14,13,16,0.13471997487528303,0.13471997487528303,0.13471997487528303,0.24345067136319268,0.35238940401095825
20,1,0,0,0,1,2,0,0,0,0.07692307692307693,0.125,15,12,14,13,16,0.13471997487528303,0.13471997487528303,0.13471997487528303,0.24345067136319268,0.35238940401095825
21,3,0,0,0,1,2,0,0,0,0.07692307692307693,0.125,15,12,15,13,16,0.13471997487528303,0.13471997487528303,0.13471997487528303,0.24345067136319268,0.35238940401095825
22,5,0,0,0,1,3,0,0,0,0.07692307692307693,0.17647058823529413,15,12,15,13,17,0.11502953116333282,0.11502953116333282,0.11502953116333282,0.20786833291968304,0.44704307359031836
23,2,0,1,0,1,3,0,0.07692307692307693,0,0.07692307692307693,0.17647058823529413,15,13,15,13,17,0.10525754665597865,0.19020950993468438,0.10525754665597865,0.19020950993468438,0.40906588681867395
24,5,0,1,0,1,3,0,0.07692307692307693,0,0.07692307692307693,0.16666666666666666,15,13,15,13,18,0.10848106755686822,0.19603469159910608,0.10848106755686822,0.19603469159910608,0.3909684816880514
25,4,0,1,0,2,3,0,0.07692307692307693,0,0.14285714285714285,0.16666666666666666,15,13,15,14,18,0.09604322790147596,0.1735584373003938,0.09604322790147596,0.28821291052330955,0.34614219637334465
26,5,0,1,0,2,4,0,0.07692307692307693,0,0.14285714285714285,0.21052631578947367,15,13,15,14,19,0.08432997122679922,0.1523915672505789,0.08432997122679922,0.25306299030844265,0.42588549998737996
27,1,0,1,0,2,4,0,0.07692307692307693,0,0.14285714285714285,0.21052631578947367,16,13,15,14,19,0.08432997122679922,0.1523915672505789,0.08432997122679922,0.25306299030844265,0.42588549998737996
28,3,0,1,1,2,4,0,0.07692307692307693,0.0625,0.14285714285714285,0.21052631578947367,16,13,16,14,19,0.08015711902727689,0.14485086164687355,0.12963955260121673,0.24054081770048255,0.40481164902415034
29,3,0,1,1,2,4,0,0.07692307692307693,0.058823529411764705,0.14285714285714285,0.21052631578947367,16,13,17,14,19,0.08044793187006473,0.14537638565979946,0.12648185433274467,0.24141350823440985,0.40628031990298125
30,1,0,1,1,2,4,0,0.07692307692307693,0.058823529411764705,0.14285714285714285,0.21052631578947367,17,13,17,14,19,0.08044793187006473,0.14537638565979946,0.12648185433274467,0.24141350823440985,0.40628031990298125
31,3,0,1,1,2,4,0,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.21052631578947367,17,13,18,14,19,0.08070132617400855,0.14583429112980748,0.12373045330405,0.2421739107265522,0.4075600186655817
32,5,0,1,1,2,5,0,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.25,17,13,18,14,20,0.07050634130811,0.12741106983364647,0.10809960609633924,0.21158012160530426,0.48240286115659997
33,1,1,1,1,2,5,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.25,18,13,18,14,20,0.1041830260129938,0.1227948119532665,0.1041830260129938,0.20391431670336385,0.464924819317382
